,Saguaro ID,2013 Measurement,2015 Measurement,2020 Measurement,2013 - 2015 Avg. Growth Rate,2015 - 2020 Avg. Growth Rate
2,1970-1021-01-1,19.9,21.5,22.3,0.8,0.4
3,1970-9909-01-1,23.7,24.95,25.1,0.625,0.075
4,1971-0130-01-1,6.1,6.9,8.6,0.4,0.85
6,1976-0079-01-1,16.8,16.9,17.5,0.05,0.3
7,1976-0235-01-1,13.7,14.0,14.7,0.15,0.35
9,1976-0379-01-11,15.3,16.2,18.0,0.45,0.9
10,1976-0379-01-12,17.0,18.15,19.2,0.575,0.525
11,1976-0379-01-13,13.6,14.4,15.8,0.4,0.7
12,1976-0379-01-14,12.7,13.6,15.4,0.45,0.9
13,1976-0379-01-15,17.5,18.2,19.6,0.35,0.7
14,1976-0379-01-16,16.9,17.35,17.8,0.225,0.225
15,1976-0379-01-18,23.7,25.4,25.8,0.85,0.2
17,1976-0379-01-2,18.7,18.95,19.5,0.125,0.275
18,1976-0379-01-20,17.9,18.85,19.0,0.475,0.075
19,1976-0379-01-21,11.8,12.3,12.9,0.25,0.3
20,1976-0379-01-22,8.0,9.44,10.7,0.72,0.63
21,1976-0379-01-23,12.7,13.3,14.4,0.3,0.55
22,1976-0379-01-24,8.5,9.35,10.8,0.425,0.725
23,1976-0379-01-25,11.9,10.45,11.5,-0.725,0.525
24,1976-0379-01-26,13.3,13.75,15.2,0.225,0.725
25,1976-0379-01-27,11.7,12.35,13.2,0.325,0.425
27,1976-0379-01-4,18.7,19.25,19.3,0.275,0.025
28,1976-0379-01-5,9.2,9.45,10.6,0.125,0.575
29,1976-0379-01-6,15.9,16.8,17.7,0.45,0.45
32,1976-0379-01-9,17.5,17.0,18.9,-0.25,0.95
33,1977-0885-01-1,10.5,11.38,13.2,0.44,0.91
34,1977-0886-01-1,10.7,11.78,13.3,0.54,0.76
36,1977-1446-01-1,12.4,13.75,14.8,0.675,0.525
39,1978-0472-01-1,11.8,12.99,14.2,0.595,0.605
40,1978-0480-01-1,15.3,17.5,18.8,1.1,0.65
41,1978-0499-01-1,4.5,6.25,7.4,0.875,0.575
43,1978-0500-01-2,10.3,11.38,12.7,0.54,0.66
45,1978-0542-01-10,16.8,17.15,18.2,0.175,0.525
46,1978-0542-01-11,21.3,22.0,22.8,0.35,0.4
49,1978-0542-01-14,5.2,5.4,6.3,0.1,0.45
50,1978-0542-01-15,23.8,25.95,26.9,1.075,0.475
53,1978-0542-01-18,14.1,15.3,16.5,0.6,0.6
54,1978-0542-01-3,18.9,20.2,21.4,0.65,0.6
56,1978-0542-01-5,17.3,17.8,19.3,0.25,0.75
57,1978-0542-01-6,4.3,4.52,4.8,0.11,0.14
58,1978-0542-01-7,19.3,19.85,21.3,0.275,0.725
59,1978-0542-01-8,21.9,22.6,24.4,0.35,0.9
60,1978-0542-01-9,16.7,17.85,18.8,0.575,0.475
61,1978-0603-01-1,20.0,20.2,21.5,0.1,0.65
63,1979-0359-01-1,16.9,16.9,18.4,0.0,0.75
64,1980-0075-01-3,13.0,13.35,15.0,0.175,0.825
65,1980-0075-01-4,10.4,11.2,13.1,0.4,0.95
66,1980-0075-01-5,8.4,9.1,10.0,0.35,0.45
69,1980-0279-01-3,13.5,14.6,16.7,0.55,1.05
70,1980-0369-01-1,7.2,7.85,8.9,0.325,0.525
71,1980-0369-01-3,15.8,16.2,16.9,0.2,0.35
72,1981-0042-01-1,10.0,11.6,14.0,0.8,1.2
73,1981-0042-01-10,15.3,16.09,16.4,0.395,0.155
74,1981-0042-01-3,6.0,6.3,6.8,0.15,0.25
75,1981-0042-01-4,10.9,11.85,14.0,0.475,1.075
76,1981-0042-01-5,8.2,9.15,11.3,0.475,1.075
79,1982-0006-06-10,13.1,13.7,14.3,0.3,0.3
81,1982-0006-06-12,15.2,15.4,17.6,0.1,1.1
82,1982-0006-06-15,9.7,10.7,12.0,0.5,0.65
85,1982-0006-06-20,10.5,12.0,15.0,0.75,1.5
86,1982-0006-06-21,6.8,7.6,9.2,0.4,0.8
87,1982-0006-06-22,6.2,6.8,7.9,0.3,0.55
89,1982-0006-06-24,11.5,12.85,14.4,0.675,0.775
91,1982-0006-06-4,8.9,9.6,10.5,0.35,0.45
92,1982-0006-06-5,7.9,8.1,9.2,0.1,0.55
94,1982-0006-06-7,14.4,15.2,16.7,0.4,0.75
95,1982-0006-06-8,5.9,6.8,9.0,0.45,1.1
96,1982-0006-06-9,4.1,4.9,6.6,0.4,0.85
99,1982-0015-01-12,16.5,16.91,17.1,0.205,0.095
100,1982-0015-01-13,4.8,5.5,6.2,0.35,0.35
101,1982-0015-01-2,10.1,10.1,11.2,0.0,0.55
103,1982-0015-01-6,15.0,15.89,15.7,0.445,-0.095
105,1982-0015-01-9,6.3,8.16,9.3,0.93,0.57
106,1982-0108-06-2,11.9,12.1,13.6,0.1,0.75
107,1982-0108-06-4,8.0,8.7,10.7,0.35,1.0
108,1982-0108-06-5,5.15,5.3,6.0,0.075,0.35
110,1983-0683-01-2,7.5,8.45,9.9,0.475,0.725
111,1983-0683-01-3,11.4,12.5,15.7,0.55,1.6
112,1983-0683-01-7,6.1,6.6,7.8,0.25,0.6
113,1985-0217-01-1,19.1,20.0,20.5,0.45,0.25
115,1985-0254-01-10,15.7,16.7,17.4,0.5,0.35
116,1985-0254-01-11,15.5,15.3,17.0,-0.1,0.85
117,1985-0254-01-12,15.8,17.4,18.4,0.8,0.5
119,1985-0254-01-19,17.1,17.5,19.3,0.2,0.9
120,1985-0254-01-2,8.65,0.81,11.8,-3.92,5.495
122,1985-0254-01-21,15.2,15.2,16.4,0.0,0.6
123,1985-0254-01-22,7.1,7.1,8.1,0.0,0.5
126,1985-0254-01-25,19.6,20.3,19.9,0.35,-0.2
127,1985-0254-01-27,12.5,13.2,15.5,0.35,1.15
128,1985-0254-01-28,25.1,25.6,27.4,0.25,0.9
129,1985-0254-01-29,18.4,20.4,20.6,1.0,0.1
130,1985-0254-01-3,8.0,9.1,11.5,0.55,1.2
131,1985-0254-01-30,19.7,21.0,22.4,0.65,0.7
132,1985-0254-01-31,18.3,18.9,19.6,0.3,0.35
136,1985-0498-01-1,7.33,8.85,10.8,0.76,0.975
137,1985-0633-01-6,3.75,4.17,6.1,0.21,0.965
140,1986-0158-01-12,10.75,11.7,14.1,0.475,1.2
141,1986-0158-01-13,11.1,11.3,13.0,0.1,0.85
152,1987-0009-01-11,19.8,19.5,20.2,-0.15,0.35
153,1987-0009-01-12,12.1,12.8,14.4,0.35,0.8
155,1987-0009-01-15,3.3,3.6,4.8,0.15,0.6
159,1987-0009-01-7,5.3,6.2,7.5,0.45,0.65
160,1987-0009-01-8,17.6,18.2,19.0,0.3,0.4
161,1987-0009-01-9,6.5,6.7,7.9,0.1,0.6
165,1987-0156-01-11,10.8,11.2,12.2,0.2,0.5
166,1987-0156-01-12,13.3,13.5,14.3,0.1,0.4
170,1987-0156-01-17,5.1,5.7,7.1,0.3,0.7
172,1987-0156-01-19,4.9,5.83,6.8,0.465,0.485
174,1987-0156-01-20,15.2,16.2,16.6,0.5,0.2
175,1987-0156-01-21,4.5,5.67,7.7,0.585,1.015
176,1987-0156-01-22,20.5,21.7,23.9,0.6,1.1
177,1987-0156-01-23,15.1,15.5,16.8,0.2,0.65
178,1987-0156-01-24,12.9,14.5,16.0,0.8,0.75
179,1987-0156-01-26,19.2,19.1,20.7,-0.05,0.8
180,1987-0156-01-27,5.7,6.3,8.5,0.3,1.1
182,1987-0156-01-29,6.5,7.6,10.7,0.55,1.55
184,1987-0156-01-30,2.1,3.48,4.7,0.69,0.61
185,1987-0156-01-31,14.9,15.2,15.7,0.15,0.25
195,1990-0214-01-13,5.1,5.8,7.4,0.35,0.8
199,1990-0214-01-18,16.8,17.0,18.7,0.1,0.85
210,1990-0350-01-12,17.1,18.12,18.4,0.51,0.14
211,1990-0350-01-14,9.3,9.6,11.1,0.15,0.75
213,1990-0350-01-2,7.4,8.3,10.3,0.45,1.0
214,1990-0350-01-3,12.4,13.2,15.0,0.4,0.9
215,1990-0350-01-4,7.4,8.05,9.4,0.325,0.675
216,1990-0350-01-5,5.2,5.6,0.6,0.2,-2.5
217,1990-0350-01-6,7.7,8.55,10.3,0.425,0.875
218,1990-0374-01-1,10.4,10.85,12.2,0.225,0.675
224,1991-0209-01-4,18.0,18.0,19.6,0.0,0.8
225,1991-0209-01-5,17.8,18.0,19.6,0.1,0.8
226,1991-0209-01-6,16.0,16.0,15.3,0.0,-0.35
227,1991-0209-01-7,12.15,13.0,16.0,0.425,1.5
228,1991-0209-01-8,5.3,5.9,7.0,0.3,0.55
229,1991-0210-01-1,1.3,1.25,1.9,-0.025,0.325
230,1991-0210-01-3,17.7,18.2,20.0,0.25,0.9
231,1991-0210-01-4,17.8,18.8,19.3,0.5,0.25
232,1991-0210-01-5,12.5,12.7,12.6,0.1,-0.05
233,1991-0210-01-6,14.2,15.7,15.3,0.75,-0.2
234,1991-0210-01-7,17.8,18.6,20.4,0.4,0.9
235,1991-0210-01-8,16.0,17.1,19.4,0.55,1.15
236,1991-0210-01-9,16.8,17.4,18.8,0.3,0.7
238,1991-0418-01-1,2.1,2.54,3.56,0.22,0.51
239,1991-0421-01-1,5.5,5.7,6.7,0.1,0.5
241,1992-0019-01-1,12.8,12.5,12.6,-0.15,0.05
242,1992-0019-01-2,21.7,21.8,23.0,0.05,0.6
243,1992-0148-01-1,9.7,10.0,10.8,0.15,0.4
244,1992-0148-01-2,15.2,15.9,18.4,0.35,1.25
245,1992-0148-01-3,13.3,13.5,14.3,0.1,0.4
246,1992-0224-01-1,8.8,8.9,11.7,0.05,1.4
247,1992-1198-01-1,21.9,21.5,22.2,-0.2,0.35
248,1992-1221-01-1,18.7,18.8,19.2,0.05,0.2
249,1992-1223-01-1,20.7,21.7,21.6,0.5,-0.05
250,1992-1223-01-2,23.4,23.75,24.1,0.175,0.175
251,1992-1464-01-1,13.0,13.1,13.6,0.05,0.25
252,1992-1471-01-1,25.2,25.0,28.3,-0.1,1.65
253,1992-1471-01-2,21.5,22.3,24.5,0.4,1.1
255,1992-1498-01-1,11.8,11.9,11.6,0.05,-0.15
256,1993-0054-01-1,22.2,22.6,24.3,0.2,0.85
257,1993-0054-01-2,11.9,12.1,13.4,0.1,0.65
258,1993-0054-01-3,11.1,11.5,12.3,0.2,0.4
259,1993-0054-01-4,11.3,11.4,12.2,0.05,0.4
260,1993-0054-01-5,9.9,10.0,11.5,0.05,0.75
261,1993-0076-01-1,7.0,7.0,7.3,0.0,0.15
262,1993-0076-01-2,20.0,20.0,23.1,0.0,1.55
264,1993-0095-01-2,17.3,17.3,19.2,0.0,0.95
265,1993-0101-01-1,25.9,25.9,25.0,0.0,-0.45
266,1993-0108-01-1,7.5,7.6,8.6,0.05,0.5
267,1993-0291-01-1,11.6,13.0,13.6,0.7,0.3
268,1993-0293-01-1,21.6,21.6,22.8,0.0,0.6
271,1993-0402-01-2,19.8,20.75,27.8,0.475,3.525
272,1993-0416-01-3,9.4,9.5,9.5,0.05,0.0
274,2002-0161-01-12,1.5,2.46,3.7,0.48,0.62
275,2002-0161-01-13,2.12,2.83,4.0,0.355,0.585
277,2002-0161-01-15,1.78,2.71,3.5,0.465,0.395
279,2002-0161-01-17,1.19,1.4,1.8,0.105,0.2
281,2002-0161-01-2,2.42,2.56,3.4,0.07,0.42
282,2002-0161-01-4,2.25,3.5,5.5,0.625,1.0
283,2002-0161-01-5,1.92,2.23,3.7,0.155,0.735
285,2002-0161-01-9,2.25,2.6,4.1,0.175,0.75
312,2008-0001-01-36,15.1,16.4,16.9,0.65,0.25
325,2008-0001-01-48,15.4,15.8,16.7,0.2,0.45
329,2008-0001-01-51,3.5,3.67,5.1,0.085,0.715
345,2008-0001-01-9,14.8,16.88,17.3,1.04,0.21
349,2012-0065-01-11,14.9,15.7,17.8,0.4,1.05
351,2012-0065-01-13,11.3,12.2,12.8,0.45,0.3
352,2012-0065-01-14,13.8,13.8,14.4,0.0,0.3
353,2012-0065-01-15,10.5,10.9,11.6,0.2,0.35
355,2012-0065-01-17,11.2,12.3,13.6,0.55,0.65
361,2012-0065-01-22,2.25,2.31,2.4,0.03,0.045
362,2012-0065-01-23,3.25,4.04,5.6,0.395,0.78
363,2012-0065-01-24,14.8,14.8,15.2,0.0,0.2
364,2012-0065-01-25,20.5,21.9,23.4,0.7,0.75
365,2012-0065-01-26,15.0,16.3,17.9,0.65,0.8
366,2012-0065-01-27,20.6,21.9,23.8,0.65,0.95
367,2012-0065-01-28,11.2,12.0,13.8,0.4,0.9
368,2012-0065-01-29,15.1,18.05,19.6,1.475,0.775
370,2012-0065-01-30,5.83,6.2,7.5,0.185,0.65
373,2012-0065-01-33,10.1,10.7,12.4,0.3,0.85
374,2012-0065-01-34,17.5,19.45,20.9,0.975,0.725
375,2012-0065-01-35,1.58,2.38,3.8,0.4,0.71
376,2012-0065-01-36,1.08,1.71,2.4,0.315,0.345
379,2012-0065-01-39,16.0,17.2,16.8,0.6,-0.2
382,2012-0065-01-41,19.7,19.0,20.1,-0.35,0.55
384,2012-0065-01-43,4.0,4.88,0.6,0.44,-2.14
385,2012-0065-01-44,16.9,18.3,20.3,0.7,1.0
386,2012-0065-01-45,11.04,12.1,14.4,0.53,1.15
387,2012-0065-01-46,13.0,13.2,12.9,0.1,-0.15
388,2012-0065-01-47,6.83,7.2,7.2,0.185,0.0
390,2012-0065-01-49,13.8,15.55,17.8,0.875,1.125
393,2012-0065-01-51,3.42,4.56,7.5,0.57,1.47
394,2012-0065-01-52,14.7,16.1,18.7,0.7,1.3
395,2012-0065-01-53,13.0,14.6,16.9,0.8,1.15
396,2012-0065-01-54,16.4,17.4,18.0,0.5,0.3
398,2012-0065-01-56,15.8,16.9,17.8,0.55,0.45
399,2012-0065-01-57,7.5,8.45,10.0,0.475,0.775
400,2012-0065-01-58,20.2,21.5,22.3,0.65,0.4
402,2012-0065-01-6,14.2,14.8,15.5,0.3,0.35
403,2012-0065-01-60,18.6,18.8,21.1,0.1,1.15
404,2012-0065-01-61,3.0,3.52,4.4,0.26,0.44
405,2012-0065-01-62,1.5,1.92,2.5,0.21,0.29
408,2012-0065-01-65,11.6,12.3,14.1,0.35,0.9
410,2012-0065-01-67,15.5,16.7,17.6,0.6,0.45
411,2012-0065-01-68,14.8,15.0,15.4,0.1,0.2
412,2012-0065-01-69,8.7,9.8,10.8,0.55,0.5
414,2012-0065-01-70,11.1,12.0,12.8,0.45,0.4
415,2012-0065-01-71,8.8,9.4,10.5,0.3,0.55
416,2012-0065-01-72,10.9,11.1,11.9,0.1,0.4
418,2012-0065-01-75,15.9,18.8,20.4,1.45,0.8
419,2012-0065-01-76,17.6,18.2,20.6,0.3,1.2
420,2012-0065-01-77,21.3,21.8,21.6,0.25,-0.1
424,2012-0065-01-80,15.5,17.2,19.1,0.85,0.95
425,2012-0065-01-81,18.3,19.1,20.7,0.4,0.8
426,2012-0065-01-82,19.2,19.2,20.5,0.0,0.65
427,2012-0065-01-83,13.0,13.9,14.3,0.45,0.2
428,2012-0065-01-84,17.0,17.3,18.0,0.15,0.35
429,2012-0065-01-85,15.4,15.6,15.8,0.1,0.1
430,2012-0065-01-86,13.9,14.3,15.2,0.2,0.45
431,2012-0065-01-87,11.7,12.0,14.5,0.15,1.25
433,2012-0065-01-89,1.65,2.23,3.8,0.29,0.785
435,2012-0065-01-90,1.71,2.79,5.6,0.54,1.405
438,2012-0065-01-93,1.58,2.35,4.0,0.385,0.825
441,2012-0065-01-96,7.1,8.2,8.9,0.55,0.35
443,2012-0065-01-98,17.7,17.8,19.6,0.05,0.9
444,2012-0065-01-99,10.0,10.5,11.2,0.25,0.35
445,2012-0214-01-1,10.7,10.9,11.5,0.1,0.3
446,2012-0214-01-10,17.7,18.5,20.5,0.4,1.0
447,2012-0214-01-11,15.3,16.2,16.9,0.45,0.35
449,2012-0214-01-13,17.7,18.2,19.2,0.25,0.5
450,2012-0214-01-14,5.3,6.3,8.5,0.5,1.1
451,2012-0214-01-15,3.8,5.58,9.1,0.89,1.76
452,2012-0214-01-16,3.6,5.12,7.1,0.76,0.99
455,2012-0214-01-19,16.5,17.1,18.5,0.3,0.7
456,2012-0214-01-2,9.4,9.4,9.8,0.0,0.2
457,2012-0214-01-20,11.6,11.9,12.7,0.15,0.4
458,2012-0214-01-21,11.9,12.0,12.4,0.05,0.2
459,2012-0214-01-22,1.83,3.0,5.4,0.585,1.2
461,2012-0214-01-24,1.63,2.38,3.3,0.375,0.46
462,2012-0214-01-25,15.1,15.4,16.0,0.15,0.3
463,2012-0214-01-26,11.9,12.1,13.0,0.1,0.45
464,2012-0214-01-27,11.5,12.4,14.0,0.45,0.8
465,2012-0214-01-28,11.2,11.7,12.7,0.25,0.5
468,2012-0214-01-30,11.0,11.95,14.5,0.475,1.275
469,2012-0214-01-31,8.5,10.2,13.0,0.85,1.4
